,Retrieval Success?,4o-mini eval,o3-mini eval,o1-mini eval,3.5-turbo eval
0,YES,True,True,True,True
1,YES,True,True,True,True
2,NO,True,True,True,True
3,NO,False,False,False,False
4,YES,True,True,True,True
5,YES,True,True,True,True
6,YES,True,True,True,True
7,PARTIAL,True,False,True,True
8,YES,True,True,True,True
9,YES,True,True,True,True
10,YES,True,True,True,True
11,YES,True,True,True,True
12,YES,True,True,True,True
13,YES,True,True,True,True
14,NO,False,False,False,False
15,YES,True,True,True,True
16,YES,True,True,True,True
17,PARTIAL,False,False,False,False
18,PARTIAL,False,False,False,False
19,YES,True,True,True,True
20,PARTIAL,False,True,True,True
21,PARTIAL,False,False,False,False
22,YES,True,True,True,True
23,YES,True,True,True,True
24,PARTIAL,False,False,False,False
25,PARTIAL,True,True,True,True
26,YES,True,True,True,True
27,PARTIAL,True,True,True,False
28,PARTIAL,True,True,True,True
29,YES,True,True,True,True
30,YES,True,True,True,True
31,YES,True,True,True,True
32,YES,False,False,False,False
33,NO,False,False,False,False
34,PARTIAL,True,True,True,True
35,PARTIAL,False,False,False,False
36,PARTIAL,True,True,True,True
37,YES,True,True,True,True
38,NO,False,False,False,False
39,NO,True,False,False,False
